                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.55499,                0.70145,                0.47642,                0.97947,                0.86173,                0.92339,                0.90363,                0.64789,                0.91476,                0.79528,                0.86519,                0.62011,                0.91808,                 1.7842,                  0.981,                 1.3135,              0.0015248,              0.0015248,              0.0015248
                     26,                0.55574,                0.66336,                0.47727,                0.98398,                0.88464,                 0.8521,                0.84858,                0.62561,                0.88464,                 0.8521,                0.85832,                0.63796,                 0.9641,                 1.3146,                 1.0158,                 1.4409,               0.001505,               0.001505,               0.001505
                     27,                0.54672,                0.63005,                0.47707,                 0.9864,                0.87342,                0.81481,                0.90271,                 0.6161,                0.89458,                0.85185,                0.91665,                0.57812,                0.91523,                 1.7974,                0.99296,                 1.2781,              0.0014852,              0.0014852,              0.0014852
                     28,                0.58392,                0.87622,                0.53303,                 1.0417,                0.92252,                 0.8822,                0.92109,                0.62076,                0.92252,                 0.8822,                0.92109,                0.58089,                 1.1292,                   1.66,                0.90611,                 1.4464,              0.0014654,              0.0014654,              0.0014654
                     29,                0.55106,                0.70009,                0.52587,                 0.9819,                0.92722,                0.88889,                0.96278,                0.82307,                0.92722,                0.88889,                0.95351,                0.78076,                0.64265,                 1.1704,                0.56498,                 1.0965,              0.0014456,              0.0014456,              0.0014456
                     30,                0.54619,                0.72404,                0.49758,                0.98436,                0.92357,                0.89532,                0.96187,                0.79694,                0.92357,                0.89532,                0.98179,                0.82554,                0.63352,                0.95514,                0.76526,                 1.1198,              0.0014258,              0.0014258,              0.0014258
                     31,                0.54437,                 0.6345,                0.44416,                0.96979,                0.74178,                0.85117,                0.85187,                0.74026,                0.74178,                0.85117,                0.86146,                 0.7148,                0.58414,                 1.2252,                 0.9921,                 1.0967,               0.001406,               0.001406,               0.001406
                     32,                0.49993,                0.67392,                0.44784,                0.96773,                0.96287,                0.96046,                0.96115,                0.81676,                0.96287,                0.96046,                0.98589,                0.87763,                0.61871,                0.72414,                0.47961,                 1.1203,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.5047,                0.63197,                0.45046,                 0.9642,                      1,                 0.9161,                0.97803,                0.83847,                0.95773,                      1,                 0.9925,                0.90402,                0.63282,                0.73852,                0.47355,                 1.1804,              0.0013664,              0.0013664,              0.0013664
                     34,                0.54126,                0.71481,                0.47851,                0.96609,                0.98877,                0.92593,                0.97032,                 0.8292,                0.98877,                0.92593,                0.97032,                0.87802,                0.60046,                0.82939,                0.48654,                 1.0861,              0.0013466,              0.0013466,              0.0013466
